source,title,company,location,posted,job_type,remote,salary,job_link,company_link,skills,match_score,matched_skills,missing_skills,why_recommended
Global,Machine Learning Engineer,Red Hat,"Toronto, Ontario, Canada","May 01, 2026",fulltime,Remote,Salary not listed,https://www.linkedin.com/jobs/view/4386877658,https://www.linkedin.com/company/red-hat,,55,"Api, Cloud, Deep Learning, Llm, Machine Learning, Python, Pytorch","Genai, Kubernetes, Linux, Nlp, Numpy, Rag","This role is recommended because your resume shows alignment with Api, Cloud, Deep Learning, Llm."
Global,PepsiCo Canada: Ai/Machine Learning Scientist New Grad,PepsiCo,"Mississauga, Ontario, Canada","May 01, 2026",fulltime,Remote status not listed,Salary not listed,https://www.linkedin.com/jobs/view/4398852020,https://www.linkedin.com/company/pepsico,,55,"Data Analysis, Deep Learning, Machine Learning, Power Bi, Python, Sql","Computer Vision, Data Science, Generative Ai, Nlp, Rag, Tableau","This role is recommended because your resume shows alignment with Data Analysis, Deep Learning, Machine Learning, Power Bi."
Global,Senior SDET (Software Development Engineer in Test),Fullscript,"Toronto, Ontario, Canada","Apr 28, 2026",fulltime,Remote status not listed,Salary not listed,https://www.linkedin.com/jobs/view/4408008229,https://ca.linkedin.com/company/fullscript,,66,"Api, Aws",Rag,"This role is recommended because your resume shows alignment with Api, Aws."
Global,Machine Learning Engineer,Leap Tools,"Toronto, Ontario, Canada","Apr 28, 2026",fulltime,Remote,Salary not listed,https://www.linkedin.com/jobs/view/4407896514,https://ca.linkedin.com/company/leap-tools,,55,"Aws, Machine Learning, Python, Pytorch","Django, Kubernetes, Rag, Tensorflow","This role is recommended because your resume shows alignment with Aws, Machine Learning, Python, Pytorch."
Global,Senior Data Scientist,Canadian Tire Corporation,"Toronto, Ontario, Canada","Apr 28, 2026",fulltime,Remote status not listed,Salary not listed,https://www.linkedin.com/jobs/view/4408003575,https://ca.linkedin.com/company/canadian-tire,,56,"Aws, Cloud, Deep Learning, Hadoop, Machine Learning, Mlops, Python, Spark","Azure, Data Science, Etl, Excel, Gcp, Rag, Tableau","This role is recommended because your resume shows alignment with Aws, Cloud, Deep Learning, Hadoop."
Global,"Data Scientist, Decisions - Verticals",Lyft,"Toronto, Ontario, Canada","Apr 28, 2026",fulltime,Remote status not listed,Salary not listed,https://www.linkedin.com/jobs/view/4398311340,https://www.linkedin.com/company/lyft,,60,"Api, Python, Sql","Data Science, Rag","This role is recommended because your resume shows alignment with Api, Python, Sql."
Global,Software Engineer,Mercor,"Toronto, Ontario, Canada","Apr 28, 2026",parttime,Remote status not listed,"CAD 113,789 - 142,236 / hourly",https://www.linkedin.com/jobs/view/4406553330,https://www.linkedin.com/company/mercor-ai,,75,"Api, Docker, Python",Linux,"This role is recommended because your resume shows alignment with Api, Docker, Python."
Global,"Machine Learning Engineer III, Tim Hortons",Tim Hortons,"Toronto, Ontario, Canada","Apr 28, 2026",fulltime,Remote status not listed,"CAD 136,765 - 177,795 / yearly",https://www.linkedin.com/jobs/view/4398358484,https://ca.linkedin.com/company/tim-hortons,,78,"Api, Aws, Cloud, Deep Learning, Llm, Machine Learning, Mlops, Python","Genai, Pandas, Rag","This role is recommended because your resume shows alignment with Api, Aws, Cloud, Deep Learning."
Global,Data Engineer,Envision Technology Solutions,"Toronto, Ontario, Canada","Apr 28, 2026",fulltime,Remote status not listed,Salary not listed,https://www.linkedin.com/jobs/view/4406562175,https://www.linkedin.com/company/envision-tech-sol,,55,"Aws, Cloud, Machine Learning, Power Bi, Python, Sql","Azure, Data Science, Etl, Gcp, Git, Github, Tableau","This role is recommended because your resume shows alignment with Aws, Cloud, Machine Learning, Power Bi."
Global,Software Engineer,Tundra Technical Solutions,"Cambridge, Ontario, Canada","Apr 28, 2026",contract,Remote,Salary not listed,https://www.linkedin.com/jobs/view/4407887059,https://ca.linkedin.com/company/tundra-technical-solutions,,55,"Api, Aws, Cloud, Docker, Sql","Git, Kubernetes, Linux, Postgresql, Rag","This role is recommended because your resume shows alignment with Api, Aws, Cloud, Docker."
Global,"Data Scientist, International",DoorDash,"Toronto, Ontario, Canada","Apr 27, 2026",fulltime,Remote,"CAD 155,913 - 194,891 / yearly",https://www.linkedin.com/jobs/view/4214828323,https://www.linkedin.com/company/doordash,,57,"Api, Machine Learning, Python, Sql","Data Science, Etl, Excel","This role is recommended because your resume shows alignment with Api, Machine Learning, Python, Sql."
Global,Data Scientist - Remote,YO IT Consulting,"Toronto, Ontario, Canada","May 03, 2026",fulltime,Remote,Salary not listed,https://www.linkedin.com/jobs/view/4408356536,https://ae.linkedin.com/company/yohritconsulting,,57,"Data Analysis, Machine Learning, Power Bi, Python","Excel, Rag, Tableau","This role is recommended because your resume shows alignment with Data Analysis, Machine Learning, Power Bi, Python."
Global,Registered Behaviour Analyst,Great Gains Therapy,"Newmarket, ON, CA","May 02, 2026",parttime,Remote,Salary not listed,https://ca.indeed.com/viewjob?jk=6507aafcea66bf48,https://ca.indeed.com/cmp/Great-Gains-Therapy,,55,Aws,Rag,This role is recommended because your resume shows alignment with Aws.
Global,"Student, Global Equities Portfolio Analyst (Fall 2026, 4 Months)",OMERS,"Toronto, ON, CA","May 01, 2026",fulltime,Remote status not listed,Salary not listed,https://ca.indeed.com/viewjob?jk=6c5e844d0299742f,https://www.omers.com,,80,"Api, Power Bi, Python, Sql",Excel,"This role is recommended because your resume shows alignment with Api, Power Bi, Python, Sql."
